"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"PR6052.L96 M8 2011","1","0"
"JV8082 .F58 2011","0","0"
"HQ1075.A35 A37 2010","2","0"
"PQ3809 .P769 2011","0","0"
"JN3946.A45 M87 2011","0","0"
"HQ75.115 .C65 2008","0","0"
"PN849.C3 F67 2011","2","0"
"F1619.2.T3 B53 2011","0","0"
"D802.A92 C373 2012","0","0"
"PA6568.B33 L44 2011","0","0"
"PK2098.36.R4185 R44 2009","0","0"
"PQ6662.E275 C37 2012","0","0"
"HQ777.35 .R667 2012","0","0"
"PQ7082.R46 A68 2012","3","0"
"PT5882.12.A55 O4913 2012","1","0"
"PS1042 .B5 2012","2","1"
"JC578 .S685 2012","2","0"
"PS3610.A39 C47 2009","0","0"
"D757.54 .S28 2012","2","1"
"BS1275.52 .H83 2012","1","0"
"HT127 .C356 2010","1","0"
"PS3553.A76 H37 2009","8","0"
"F319.M62 B74 2009","0","0"
"PQ6409 .N396 2011","0","0"
"DS135.E75 F4513 2012","0","0"
"PQ6395 .P47 2011","1","1"
"HQ1075 .W69 2013","19","4"
"HQ1075 .W69 2013","23","0"
"PN4874.C84 B75 2012","1","0"
"PR6051.R285 S56 2012","4","1"
"PN778 .A433 2011","0","0"
"PQ7409.3.A53 U35 2011","3","0"
"PQ7440.G28 R4 2011","1","0"
"PQ8180.17.A73 C5335 2011","0","0"
"PA413 .M395 2011","0","0"
"BL813.A43 C393 2012","0","0"
"DS134.36.L66 V67 2011","0","0"
"DS134.32 .K38 2012","1","0"
"DA590 .B695 2012","0","0"
"CS3010 .J83 2011","0","0"
"JC578 .S685 2012","3","0"
"DS135.E8 K658 2011","1","0"
"PC840.423.U745 B66 2011","0","0"
"PS3555.V259 R63 2012b","0","0"
"PQ5902.P8 P84 2011","0","0"
"DS115.95 .E595 2011","0","0"
"DS135.A92 L639 2011","2","0"
"PR6037.T617 Z46 2012","6","0"
"PG3460.D67 A2 2012","0","0"
"PQ2637.A274 Z7735 2012","1","0"
"Z658.C6 J56 2012","0","0"
"DS754.64.S558 S556 2012","1","0"
"PQ7442.B48 R45 2011","0","0"
"BR65.C683 C37 2011","0","0"
"PA6537 .R385 2012","0","0"
"PR6062.E4457 G75 2011","1","0"
"PQ7434 .E34 2011","0","0"
"PS3558.A32346 B65 2012","1","0"
"PQ7440.L69 D47 2011","0","0"
"HD1527.C2 L54 2012","0","0"
"JK468.I6 C78 2012","16","1"
"HQ250.B455 H36 2011","0","0"
"DK268.M585 F54 2012","0","0"
"PA8140.I6 R84 2011","1","0"
"PR6062.O775 U53 2012","0","0"
"PA3965.D4 F8 2006","0","0"
"PS3603.A86525 L36 2011","1","0"
"PQ4073 .I53 2011","1","0"
"CB203 .I435 2008","0","0"
"PA6511 .M2 2011","0","0"
"PA6706 .A3 2010","1","0"
"PS3563 .A858 2011","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"PT2617 .E85 2012","0","0"
"DG807.4 .L38 2011","0","3"
"PN1993.5.I88 I45 2011","1","0"
"D521 .P67 2012","0","1"
"DS135.R9 A736 2004","0","0"
"GA895.R7 A43 2010","0","0"
"ND1059.A8 A4 1984","1","0"
"DK268.B94 A3 2011","0","0"
"PQ4913.O544 N68 2012","0","0"
"ND1059.G66 A4 1986","1","0"
"DD901.G55 B88 2012","0","0"
"DK67.5.F8 R58 1995","0","0"
"DK651.K416 K666 2000","1","0"
"HD1698.C62 L8 2011","0","0"
"PL2415 .S5823 2011","0","0"
"HG1284 .W36 2011","0","0"
"BQ2057 .J534 2011","0","0"
"GN487 .Z43 2011","0","0"
"PR6056.I2 R85 2012","0","0"
"PR6110.O73 R44 2012","0","0"
"PR1228 .A38 2012","2","0"
"DS146.G4 P25 2010","1","0"
"PR2931 .B37 2012","0","1"
"PG5040.29.I49 Z44 2011","0","0"
"PN6727.P73 A6 2011","3","2"
"F1787.5.O84 A3 2011","1","0"
"PQ7440.A365 L89 2011","0","0"
"PQ7442.M375 M47 2011","0","0"
"PQ7442.A77 E65 2010","2","1"
"KNN122 .M256 2011","0","0"
"F1981.M4 C43 2011","0","0"
"KNQ8708 .W36 2011","0","0"
"JL1053 .M38 2012","0","0"
"PQ7442.R33 S84 2011","0","0"
"PL2302 .H834 2011","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PT2617 .E85 2012b","0","0"
"PQ7440.S26 Z73 2011","4","0"
"PQ6669.A6125 E58 2012","0","0"
"GE197 .S45 2012","8","0"
"DS779.23 .D57 2011","1","1"
"E185.615 .N67 2012","1","0"
"BL2525 .H33 2012","3","0"
"PQ9231 .R46 2012","0","0"
"PM3968 .P37 2012","3","0"
"PN1998.3.F85 A3 2012","0","0"
"BL2525 .C358 2012","0","0"
"PS3604.A9558 B48 2012","0","0"
"PR9192.5 .Z717","17","0"
"PR9199.2.K5 G6 2012","1","0"
"E184.M5 P59 2012","3","0"
"E185 .O44 2012","3","0"
"D769.8.A6 F36 2012","3","0"
"BM538.C68 I78 2012","1","0"
"Z1003.2 .M55 2012","3","2"
"PQ7122.M47 L86 2012","3","0"
"E99.N3 L633 2012","0","0"
"PG3213 .T47 2012","0","0"
"PQ4053.F87 N39 2011","1","0"
"UA702.32.A44 M66 2012","1","0"
"PQ7499.M576 C5 1963","1","1"
"PQ6613 .O4 2012","0","0"
"DC277 .P65 2011","2","1"
"PQ6713.O63532 V53 2012","0","0"
"PL2314.5 .H424 2011","0","0"
"PQ6663.A74445 M85 2012","0","0"
"PL2754.S5 Z64972 2011","1","0"
"PQ6670.U8 Z46 2012","1","0"
"PQ6657.R32 L43 2012","1","0"
"DG231.3 .R534 2012","2","0"
"PQ2679.E4 Z46 2012","0","0"
"DT443.3.S92 V475 2012","2","1"
"PL2343 .L868 2011","2","0"
"GB400.5 .E48 2012","0","0"
"PQ3949.2.C66 R84 2012","1","0"
"PS366.A88 D36 2012","2","1"
"P115.2 .F85 2012","1","0"
"DS135.E6 H47 2011","1","0"
"PQ2662.O7755 Z93 2012","1","0"
"E230 .C38 2012","1","2"
"PR1928.W64 P58 2012","5","1"
"PR5670.T46 Z48 2012","0","0"
"E907 .L56 2012","1","1"
"DS73.35 .C4713 2012","0","2"
"DS134.84 .J49 2012","6","1"
"PR4838.P5 B37 2012","1","0"
"DS432.M84 L57 2012","2","1"
"E169.1 .M1616 2012","1","0"
"PE1073 .P37 2012","4","0"
"E907 .M325 2012","4","0"
"DS119.7 .I87 2012","0","0"
"E901.1.R83 R65 2012","1","1"
"PR9619.3.H369 Z79 2012","0","0"
"B821 .E45 2012","0","1"
"PS3503.U687 T37 2012","6","0"
"E184.M88 A46 2012","5","0"
"PS3527.A15 Z56 2012","9","1"
"PR9199.3.H54 B3 2012","0","0"
"PT2662.O77 A2 2012","2","0"
"PS3569.M53752 A6 2012","0","0"
"PN1995.9.C555 C378 2012","1","1"
"DA632 .M38 2012","3","0"
"BR305.3 .D58 2012","1","0"
"PB2299.B53 P79 2011","0","0"
"E806 .W55 2012","3","0"
"PS3612.E9377 I2 2012","0","0"
"PR6025.A316 Z663 2012","2","0"
