"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"BX1491 .C37 2009","0","0"
"DS7.7 .F67 2009","12","1"
"E99.A6 A5956 2009","0","0"
"PQ305 .S94 2009","3","0"
"PQ7633 .P67 2009","9","0"
"E183.8.S65 D385 2009","2","0"
"F1436 .R68 2009","12","0"
"E355.6 .S53 2009","4","0"
"PS228.P67 B46 2009","10","1"
"E185.93.K3 F74 2009","7","3"
"B3248.G33 W3435 2009","1","0"
"DS432.M84 G74 2009","6","0"
"DC151 .F675 2009","8","1"
"F2636 .F74 2009","8","1"
"PQ149 .R93 2009","1","0"
"PC1131 .K73 2009","0","0"
"E76.6 .R43 2009","5","1"
"BL65.H5 S33 2009","1","0"
"Z106.5.G3 C97 2009","2","1"
"E468.9 .W29 2009","2","1"
"E660 .T112 2009","0","1"
"F444.M59 A26 2009","1","0"
"PN1998.3.A46 A64 2009","17","0"
"B765.T54 D475 2009","5","0"
"PS153.N5 C343 2009","8","0"
"PA3110 .C26 2009","10","2"
"PR883 .C36 2009","2","1"
"PA8485.B75 C36 2008","1","0"
"DS135.E83 C65 2009","0","0"
"E185.625 .P74 2009","6","0"
"PR448.I52 K38 2009","6","0"
"PE1128.A2 U73 2009","11","0"
"PS3613.A874 G73 2009","0","0"
"PS3604.A97264 G738 2009","0","1"
"BR110 .R87 2009","0","0"
"E99.H7 B45 2009","1","1"
"F1864 .H446 2009","0","0"
"PS3556.A326 L57 2009","2","2"
"PN1949.S7 B73 2009","1","0"
"DK781.B3 U76 2009","10","0"
"PN1991.8.E94 G55 2009","7","0"
"DS734.95 .P65 2008","0","1"
"BR1644.5.N6 M37 2009","6","0"
"E580.4.T4 M366 2009","2","0"
"DC33.3 .B45 2009","15","0"
"CT3262.S65 S68 2009","5","4"
"PS3619.I565 S77 2009","0","0"
"BS1235.52 .M63 2009","2","1"
"P325 .T485 2009","1","0"
"B3258.H324 A53 2008","0","0"
"PN1993.5.I8 R275 2009","4","1"
"F870.M5 B37 2009","1","0"
"PS3537.A826 A6 2009","0","0"
"KLB1330 .R64 2008","0","0"
"PR6045.I577 H43 2008","0","0"
"PQ4872.E8 Z74 2009","0","0"
"PQ6436 .S54 2009","2","0"
"PE3502.I61 S43 2009","0","1"
"PJ7517 .H86 2009","1","0"
"BF408 .I36 2009","4","1"
"D210 .M54 2009","2","0"
"HF1359 .N376 2009","2","2"
"E885 .M356 2009","1","0"
"HQ1143 .P73 2008","7","3"
"HT1161 .W93 2009","2","1"
"PN2287.D37 D46 2009","0","0"
"HM1211 .R39 2009","3","0"
"PN56.S5 N44 2008","2","0"
"HT166 .K66 2009","2","1"
"PQ4053.O25 O34 2008","0","0"
"PQ4876.A736 G45 2007","0","0"
"HT145.R9 S45 2008","0","0"
"PQ4380 .D380 2006","1","0"
"DG676 .S838 2008","2","0"
"HQ1742 .R36 2008","0","0"
"PS3551.F45 I37 2008","0","0"
"DD290.26 .B38 2008","0","0"
"PN94 .V47 2007","0","0"
"HB172.5 .K65 2006","0","0"
"B3258.H324 B498 2008","0","0"
"BJ1403 .B545 2007","0","0"
"DJK50 .D35 2009","0","0"
"PN4031 .P65 2008","0","0"
"HN49.C65 F36 2008","0","0"
"DD290.33.B43 H48 2008","0","0"
"JN6639.A5 A87 2007","3","1"
"DG78 .A64513 2009","4","0"
"DK268.S8 L375 2009","0","0"
"BM713 .L48 2009","9","1"
"PN1995.3 .L58 2008","0","0"
"N72.S6 L85 2008","0","0"
"PQ6668.U49 J8413 2009","11","1"
"PS3552.O87658 B45 2009","4","1"
"PR9619.3.D56 B56 2009","5","0"
"RJ506.A9 G73 2009","2","0"
"PR4381 .O47 2009","2","1"
"CT275.B134 A3 2009","0","0"
"PS3610.O325 D37 2009","11","0"
"PR6111.E5 D43 2009","3","0"
"K1401 .H45 2009","4","0"
"TX355.5 .E25 2009","12","1"
"BV4596.G38 H36 2009","2","0"
"PS3553.H4838 G66 2009","14","0"
"HG3761 .C65 2009","11","0"
"PR6101.L45 I5 2009","5","0"
"HM851 .H546 2009","7","0"
"HM851 .H546 2009","10","2"
"PS3619.E45 P73 2009","0","0"
"PT9877.22.A25 P74 2008","11","0"
"PS3554.E1755 R63 2009","4","0"
"PR6052.A465 S44 2009","6","1"
"PR6111.H68 S54 2009","1","0"
"D810.S8 P448 2008","2","0"
"PR6052.R5816 S77 2009","4","0"
"BF1261.2 .V365 2009","1","1"
"PR6052.A643 E24 2009","1","0"
"RT73.7 .O47 2009","2","0"
"PR6052.A643 N54 2009","0","0"
"E169.12 .O18 2009","5","0"
"DD256.3 .R488 2008","1","0"
"HV6046 .R54 2005","0","0"
"DD78.M87 S39 2007","0","0"
"B785.F734 S556 2008","0","0"
"HD9016.C52 T67 2009","1","0"
"BF575.L3 W54 2008","5","0"
"BL51 .A576 2008","0","0"
"HE3080.D4 S74 2009","0","1"
"D810.C4 Z95 2007","1","0"
"HC435 .R664 2008","0","0"
"RC569.5.A28 W54 2008","1","0"
"DP102 .H84 2008","5","2"
"PN1997.S762 T95 2009","0","2"
"PR5774.I583 G66 2007","0","0"
"PS3558.A67 O77 2009","0","0"
"PN2786.M8 S36 2009","0","0"
"D767.8 .P73 2009","0","0"
"DS117 .S4885 2008","1","0"
"LB3051 .B67 2009","1","0"
"BX5100.O83 C78 2009","1","0"
"PN6710 .C6665 2009","2","0"
"PR4612 .H8 1954","1","0"
"PG3458 .S525 2008","0","0"
"BS1255.6.S2 B53 2009","4","0"
"PN146 .J33 2009","2","1"
"BR118 .K56 2008","0","0"
