"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"PR9199.3.A4 A6 2016","1","0"
"DK169.R8 G67 2009","0","0"
"DK169.R8 G67 2009","0","0"
"KF373.J64 J66 2016","0","0"
"LB2345.3.R37 C36 2016","1","0"
"JN96.A58 C489 2016","0","0"
"HD6053 .H86 2016","0","0"
"LB1062.6 .H39 2016","0","0"
"BF692.2 .B785 2016","0","0"
"KBP55 .B76 2016","0","0"
"P211 .F73 2015","0","0"
"GV1469.17.S63 R64 2016","3","0"
"HB171 .F545 2016","1","1"
"HC59.72.T4 I5256 2016","1","0"
"HV245 .M64 2016","0","0"
"HQ759.48 .N57 2016","0","0"
"K1705 .N46 2016","1","0"
"JA80 .O427 2016","1","1"
"JQ1539.5.A58 P74 2016","1","0"
"LC220.5 .R448 2016","0","0"
"HM636 .S625 2016","0","0"
"HQ29 .H69 2016","0","0"
"LC2808.S7 C47 2016","0","0"
"LB2395.7 .H218 2016","0","0"
"PN5367.I58 W36 2016","0","0"
"HV6441 .H65 2016","1","1"
"HD70.C5 Z46 2016","0","0"
"LB2332.32 .B49 2016","0","0"
"BF323.L5 G75 2016","0","0"
"G370 .P813 2016","0","0"
"HM1272 .C64 2016","0","0"
"BF1584.E9 G66 2016","1","1"
"GV708.8 .Z45 2016","1","0"
"G70.212 .L34 2016","3","0"
"HM876 .I47 2016","1","0"
"HV40 .D825 2016","0","0"
"JZ4841 .L44 2016","0","0"
"BF323.E8 I67 2016","1","0"
"GV709 .S495 2016","1","0"
"GN776.22.G7 F54 2016","0","0"
"JK468.A8 K46 2016","0","0"
"KF9745 .H37 2016","8","0"
"JK524 .L525 2016","1","0"
"HD6278.U5 K456 2015","10","0"
"HD6278.U5 K456 2015","7","0"
"GV706.4 .P7845 2016","0","0"
"JZ6405.W66 R47 2016","0","0"
"P118.2 .R478 2016","1","0"
"HD2955 .D39 2016","2","0"
"HE8689.9.G7 H54 2015","0","0"
"P311 .A67 2016","1","1"
"GR75.G64 L96 2016","0","0"
"HT166 .D6645 2016","2","0"
"P118 .U76 2016","2","0"
"BF721 .F377 2016","2","0"
"F1204.5 .G85 2014","0","0"
"PJ5055.22.O3946 I7 2015","1","0"
"PS3610.A356433 T73 2015","1","0"
"HN400.S6 H36 2016","2","0"
"PJ5055.13.R185 S54 2015","0","0"
"PS3545.H518 A6 2016","0","0"
"PJ5055.16.N337 M67 2015","3","0"
"DG59.D3 P67 2015","0","0"
"DS135.M9 B463 2016","0","0"
"PQ2661.R6997 A8 2016","0","0"
"PJ5054.H6465 T36 2016","0","0"
"PJ5054.B4238 I8 2015","0","0"
"PJ5055.16.N85 H39 2016","0","0"
"CD971 .A717 2016","1","0"
"F1386.6.P58 S83 2014","1","0"
"PR6051.Y35 Z655 2015","1","0"
"GR115 .A74 2014","0","0"
"F1221.Z3 B53 2014","1","0"
"F2230.2.G72 V33 2013","2","0"
"F2230.2.A9 L55 2010","1","0"
"PQ2661.B43 D48 2016","0","0"
"PQ2601.R2 Z54 2012","0","0"
"DD239 .S74 2016","1","0"
"F3126 .V33 2016","1","0"
"PQ7296.J6 Z86 2007","1","0"
"PN1993.5.A65 B57 2015","1","0"
"F1228.98 .N38 2008","1","0"
"F1219.76.F65 H56 2007","1","0"
"PS3613.A7869 M9 2009","1","0"
"F1229 .R77 2008","1","0"
"DS149 .A528 2015","0","0"
"PS2384 .E53 2002","2","0"
"PJ9237.E7 E937 2015","0","0"
"B828.45 .D56 2009","0","0"
"F1233.5.D53 A58 2008","1","0"
"B828.45 .N64 2006","0","0"
"F1234.C192 N39 2008","1","0"
"B828.45 .P47 2014","0","0"
"PQ6714.I314 N6 2015","0","0"
"PQ7392.M462 M84 2014","1","0"
"PS3608.A54534 W54 2016","0","0"
"BJ1451 .W27 1998","0","0"
"PQ7390.P3175 S43 2013","0","0"
"BQ4160 .K57 2009","0","0"
"GN409 .W38 2015","1","0"
"PQ6660.I5 C5 2015","0","0"
"PN5105.S37 A73 2015","1","0"
"PQ8550.416.A75 A94 2015","0","0"
"PN682.W6 C57 2016","1","0"
"PQ2672.E7295 Z46 2016","0","0"
"PQ7798.29.A314 V54 2012","0","0"
"PN56.M95 A53 2016","0","0"
"PN682.M58 D83 2016","0","0"
"PM3968.9.C545 L66 2014","1","0"
"CB353 .S28 2015","2","0"
"E840.8.B668 A3 2016","0","0"
"PQ7082.N7 O45 2016","0","1"
"BX1752 .S76 2016","2","0"
"PR2630 .B76 2016","0","0"
