CALL #(ITEM),TOT CHKOUT,INTL USE 
B2430.B33954 K46 2014,0,0
B2430.B4 D467 2013,2,0
B2430.B43 A56 2002,1,0
B2430.B43 C76 2013,4,0
B2430.C354 B67 2013,1,0
B2430.C354 Z37 2013,4,0
B2430.C3584 A65 2014,1,0
B2430.C3584 I42 2013,0,0
B2430.C643 A3 2013,0,0
B2430.D453 Q4734 2014,5,0
B2430.D454 D46 2012,5,1
B2430.D454 D845 2013,2,2
B2430.D454 I575 2014,6,1
B2430.D454 P66 2013,0,0
B2430.D454 P66 2013,0,0
B2430.D454 S2313 2013,3,0
B2430.D484 D3975 2013,0,1
B2430.D484 F39 2013,1,0
B2430.D484 H325 2013,1,1
B2430.D484 K73 2013,2,0
B2430.D484 L43 2013,0,0
B2430.D484 M379 2013,0,0
B2430.D484 M6313 2014,2,0
B2430.D74 E27 2013,0,0
B2430.E753 A3 2013,2,0
B2430.F723 L4313 2013,4,0
B2430.F724 F584 2013,2,0
B2430.F724 F68 2014,7,1
B2430.F724 M485 2014,1,0
B2430.F724 M493 2013,0,0
B2430.F724 P46 2013,1,0
B2430.G494 G66 2014,0,0
B2430.G494 R455 2014,4,0
B2430.G494 R465 2014,1,0
B2430.G494 V562 2014,1,0
B2430.I74 B74 2013,1,0
B2430.J854 B5412 2011,0,0
B2430.K654 F5514 2010,2,0
B2430.K7544 M55 2014,2,0
B2430.L484 B67 2014,0,0
B2430.L484 K4613 2013,3,0
B2430.L484 L466 2013,0,0
B2430.L484 Z56 2013,0,0
B2430.L964 B64 2014,0,0
B2430.L964 J66 2014,0,0
B2430.L964 W35 2013,1,0
B2430.M284 V56 2012,0,0
B2430.M34 A74 2013,0,0
B2430.M3764 K384 2013,0,1
B2430.M3764 L34 2013,3,0
B2430.M3764 L69 2013,1,0
B2430.M3764 O43 2013,0,0
B2430.M3764 S55 2014,1,0
B2430.M3764 S58 2014,0,0
B2430.N364 R84 2013,1,0
B2430.R274 R36 2013,3,0
B2430.R553 E8713 2013,0,1
B2430.R554 R49 2013,0,0
B2430.R554 S36 2013,2,0
B2430.R554 V59 2014,3,0
B2430.S34 C64 2013,0,0
B2430.S34 J436 2013,4,0
B2430.S554 C4813 2013,5,0
B2430.S554 C6613 2013,10,0
B2430.S7523 C513 2013,4,0
B2430.W474 R69 2013,1,0
B2528.G73 W58 2013,1,1
B2528.T56 S33 2014,0,0
B2598 .H653 2013,0,1
B2598 .J55 2013,0,0
B2743 .J36 2013,0,1
B2745 .B45 2013,1,1
B2745 .I47 2013,2,0
B2745 .I47 2013,5,0
B2745 .I47 2013,4,0
B2750 .K28 no. 173,0,0
B2750 .K28 no. 174,0,0
B2750 .K28 no. 175,0,0
B2750 .K28 no. 176,0,0
B2750 .K28 no. 177,0,0
B2750 .K28 no. 178,0,0
B2766.Z7 R56 2013,0,0
B2779 .F47313 2013,0,0
B2784 .V64 2011,1,0
B2786.Z7 F75 2013,4,4
B2798 .D948 2013,0,0
B2798 .G6845 2013,0,1
B2798 .G89 2014,1,0
B2798 .I53 2010,1,0
B2798 .I53 2010,0,0
B2798 .I53 2010,1,0
B2798 .I53 2010,0,0
B2798 .I53 2010,0,0
B2798 .J64 2013,1,0
B2798 .S95 2013,0,0
B2798 .W588 2014,0,0
B2798.F673 U434 2013,1,0
B2799.C8 H37 2013,0,0
B2799.E8 O53 2013,2,0
B2799.H9 L67 2013,0,0
B2799.T7 T73 2013,0,0
B2853 .A2 1976,1,0
B2898 .B48 2012,0,0
B2898 .K86 2013,1,0
B2898 .N283 2013,5,0
B2899.N3 M39 2014,0,0
B29 .B446 2013,1,0
B29 .S34 2014,0,0
B2900 .H43,0,0
B2903 1968,0,0
B2903 1968,0,0
B2903 1968,0,0
B2903 1968,0,0
B2929 .C65 2013,1,0
B2929 .M25 2014,2,0
B2929 .S48513 2014,3,1
B2929 .W56 2013,0,0
B2929 .Z27 2014,0,0
B2948 .F75 2014,6,0
B2948 .H31724 2013,2,0
B2948 .H44 2013,0,0
B2948 .K958 2013,0,0
B2948 .M136 2014,0,0
B2949.A4 H444 2013,0,0
B2949.L8 S45 2013,0,0
B2949.N4 H37 2014,1,1
B2973 .P655 2013,0,0
B3049.A37 F67 2009,1,0
B305.P84 P76 2013,1,0
B3051.M483 H47 2013,0,0
B3051.Z7 H465 2013,0,0
B3148 .V37 2013,0,0
B3149.W74 K48 2012,0,0
B317 .S6435 2013,0,0
B317 .W36 2013,1,0
B3199.A34 B69 2013,2,1
B3199.A34 F74 2013,1,0
B3199.A34 H45 2014,4,1
B3199.A34 H633 2013,5,0
B3209.B584 F465 2013,0,0
B3209.B754 B653 2014,0,0
B3209.B754 P75 2013,2,0
B3209.B834 A4 2013,1,0
B3212.Z7 T52 2013,1,0
B3216.C34 M69 2013,0,0
B3216.D84 D57 2013,0,0
B3224 .E16 2013,0,0
B3248.G33 V35 2012,0,0
B3258.H324 H33 2013,4,0
"B3279 .H45 1976 Bd. 73, T. 1",0,0
"B3279 .H45 1976 Bd. 73, T. 2",0,0
B3279 .H45 1976 Bd. 84,1,0
B3279 .H45 1976 Bd. 94,0,0
B3279 .H45 1976 Bd. 95,0,0
B3279 .H45 1976 Bd. 96,0,0
B3279 .H485 2010,0,0
B3279 .H9 1950,0,0
B3279 .J66 2010,1,0
B3279 .J66 2010,1,0
B3279.H24 C53 2014,1,0
B3279.H48 N38 2013,2,0
B3279.H48 S4433 2013,4,0
B3279.H49 B78 2014,1,1
B3279.H49 D44 2013,0,0
B3279.H49 D49 2013,1,0
B3279.H49 H234 2014,0,0
B3279.H49 I94 2014,0,0
B3279.H49 N69 2013,1,0
B3279.H49 S73 2009,0,0
B3279.H49 T639 2014,0,0
B3279.H49 Y38 2013,1,0
B3279.H49 Z536 2013,1,0
B3279.H49 Z54 2013,0,0
B3279.H93 A3313 2014,4,0
B3279.H94 H359 2013,0,0
B3279.J664 G67 2014,1,0
B3279.K62 E5 2013,2,0
B3279.K64 L43 2013,2,0
B3286.L554 D745 2013,0,0
B3305.M74 B68 2012,3,1
B3305.M74 S768 2014,4,0
B3313 .K38 2013,4,2
B3313 .Z7 2013,1,0
B3313.G43 D36 2013,5,0
B3313.Z73 E5 2013,9,1
B3316 .J27,1,0
B3316 .J27,1,0
B3316 .M58 2013,0,0
B3317 .G455  2013,0,0
B3317 .G475 2013,0,0
B3317 .N449 2013,0,0
B3317 .N4496 2014,0,0
B3317 .N543 2013,1,0
B3317 .O94 2013,2,0
B3317 .S58513 2013,4,0
B3317 .S61655 2013,1,0
B3317 .Z913 2013,2,0
B3318.C35 F67 2013,0,0
B3318.E9 K38 2013,0,0
B3318.E9 M34 2013,0,0
B3318.H85 C66 2013,0,0
B3318.J87 S43 2013,0,0
B3318.P68 J68 2013,0,1
B3323.R654 S349 2013,0,0
B3327.R64 D46 2013,1,0
B3332.S44 O89 2013,0,0
B3376.W563 P532765 2013,0,0
B3376.W563 U324 2014,1,0
B3376.W564 H67 2012,1,0
B3376.W564 S2785 2014,1,0
B3376.W564 W543 2013,0,0
B3399 .F58 2014,0,0
B3511.E54 K47 2013,0,0
B3583 .B45 2013,1,0
B3583 .P55 2013,0,0
"B360 .H45 1993 Bd. 5, T. 3",0,0
B3611.A44 A64 2010,0,0
B3611.A44 D68 2013,4,0
B3611.A44 W36 2014,1,0
B367 .E94 2014,1,1
B369 .S365 2013,0,0
B378 .P6914 2007,0,0
B378 .P6914 2007,0,0
B381 .S44 2014,0,0
B384 .A43 2007,0,0
B384 .T45 2012,0,0
B385 .F38 2013,0,0
B387 .P7613 2007,3,0
B387 .P7613 2007,3,0
B387 .T565 2012,0,0
B391.Z5 E625 2012,1,0
B395 .G4435 2014,2,1
B395 .G47 2013,3,0
B395 .K235 2013,1,0
B395 .K55 2014,2,0
B395 .P5195 2013,0,0
B395 .P5375 2013,0,0
B395 .S38 2013,0,0
B395 .S48 1938a,1,1
B395 .W55 2013,0,0
B398.R4 R54 2013,1,0
B398.S7 S48 2013,7,0
B3985.Z7 B37 2014,0,0
B3998 .S735 2013,0,0
B3999.R4 H84 2014,2,0
B42 .D53 2013,0,0
B4211 .M355 2012,0,0
B4231 .F356 2009,0,0
B4238.B44 N55 2013,0,0
B4238.C55 E852 2013,0,0
B4238.G567 N47 2013,0,0
B4249 .O51 2013,0,0
B4249.K44 A3 2013,0,0
B4249.L44 M99 2012,0,0
B4249.L44 V64 2013,0,0
B4259.R64 M49 2004,0,0
B4259.R64 M49 2005,0,0
B4259.R64 M49 2006,0,0
B4259.R64 M49 2007,0,0
B4259.R64 M49 2008,0,0
B4259.R64 M49 2009,0,0
B4259.R64 V53 2012,0,0
B4259.S54 A4 2014,0,0
B4259.S54 B85 2012,0,0
B4259.S5664 G86 2014,0,0
B4267 .C53 2012,0,0
B4279.V83 N46 2013,0,0
B4279.V95 B67 2013,0,0
B430.A5 R438 2014,8,0
B432.A5 S56 2014,0,0
B434 .C63 2014,2,1
B4377 .K45543 2014,0,0
B4377 .K57 2014,3,0
B4377 .L5155 2013,4,0
B4377 .P38 2012,1,0
B4377 .R62 2013,0,0
B4378.E8 C65 2013,0,0
B4378.E8 M55 2013,0,0
B438 .A975 2013,1,0
B4568 .Z34 2011,0,0
B4691.B784 B79 2011,0,0
B4802 .S827 2011,0,0
B4805.P354 M55 2013,0,0
B481 .N3813 2013,0,0
B4815.H44 A3 2013,0,0
B4815.L84 K45 2014,0,0
B485 .A6445 2013,2,1
B485 .C38 2011,0,0
B485 .C38 2011,0,0
B485 .M267 2014,3,0
B485 .S44 2014,4,0
B4870.Z594 Z57 2014,2,1
B4870.Z594 Z594 2014,3,2
B491.E7 B363 2013,1,0
B491.E7 F53 2013,1,0
B491.L8 M35 2013,1,0
B491.M4 N46 2014,3,1
B491.R4 W43 2014,8,0
B5099.G283 G37 2013,0,0
B51 .V6313 2014,4,0
B5133.B45 S56 2013,0,0
B517 .G45 2013,0,1
B517 .G485 2014,0,0
B517 .P45 2013,0,0
B517 .S37 2013,1,0
B517 .U73 2013,4,0
B52 .A33 2012,0,0
B52 .C87 2014,1,0
B52.65.N68 S29 2014,1,0
B52.7 .S74 2013,1,0
B5231 .H834 2013,0,0
B5231 .Q256 2012,0,0
B5231 .W33 2000,0,0
B5231 .X56 2012,2,0
B5231 .Z468 2013,0,0
B5233.C6 N52 2013,0,0
B5233.C6 T84 2013,0,0
B5233.C6 X534 2012,0,0
B5234.C754 Z483 2012,0,0
B5234.H684 G866 2013,0,0
B5234.L364 Z437 2013,0,0
B5234.N36 W54 2013,2,0
B5234.P366 P36 2012,0,0
B5251 .Y4837 2012,1,0
B5253.N45 C4343 2012,0,0
B5254 .Y4632 2011,0,0
B5254.H664 T36 2012,0,0
B5254.P294 Y66 2012,0,0
B5254.Y484 K566 2012,0,0
B5254.Y524 S66 2012,0,0
B528 .B735 2014,0,0
B528 .P53 2013,1,0
B53 .H27 2014,0,0
B53 .H275 2014,0,0
B53 .P498 2013,4,0
B5300.5 .M46 2007,1,0
B5305 .L35 2013,0,0
B5315.K56 A536 2013,0,0
B536.A24 P5416 2012,0,0
B553 .C535 2013,0,0
B561.D53 W34 2013,0,0
B563 .E65 2014,2,0
B563 .J64 2014,3,0
B575.R38 O5 2013,0,0
B577.G24 G25 2013,1,0
B618 .R64 2014,5,0
B638 .G595 2013,3,0
B655.Z7 B37 2013,0,0
B655.Z7 W48 2013,5,0
B659.Z7 D663 2013,3,0
B67 .A45 2011,0,0
B67 .H39 2013,0,0
B67 .M67 2013,0,0
B693.E52 E5 2013,1,0
B693.Z7 M675 2013,2,0
B697.I83 M36 2014,0,0
B697.Z7 J64 2013,6,0
B72 .G77 2014,0,0
B720 .D43 2014,0,0
B721 .C76 2014,0,0
B721 .F283 2014,1,0
B721 .J648 2012,0,0
B738.A37 O83 2014,2,0
B738.H3 K58 2014,0,0
B738.H8 H83 2012,2,3
B740 .M356 2005,1,0
B741 .J29 2014,1,0
B741 .J83 2009,0,0
B741 .M36 2010,0,0
B741 .N3925 2011,0,0
B741 .P45 2014,0,0
B741 .S87 2006,0,0
B743.I7 M832 2012,1,0
B743.I7 M834 2012,0,0
B745.S44 H43 2014,2,0
B746 .A35 2008,0,0
B746 .A35 2008,0,0
B746 .A35 2008,0,0
B746 .A35 2008,0,0
B746.Z7 F37125 2006,0,0
B749.Z7 A6 2014,1,1
B749.Z7 A643 2009,0,0
B749.Z7 I25 2012x,0,0
B749.Z7 K36 2013,0,0
B751.Z7 A75 2013,0,0
B751.Z7 I27 2013,0,0
B751.Z7 I587 2013,1,1
B751.Z7 T86 2009,0,0
B753.D364 A98 2010,1,0
B753.F34 M87 2013,0,0
B753.F34 M87 2013,0,0
B753.F34 N37 2011,0,0
B753.G33 I3 2011,2,0
B753.G33 I3 2011,2,0
B753.G33 I3 2011,0,0
B753.G33 I3 2011,1,0
B753.G33 I3 2011,0,1
B753.G33 I3 2011,0,0
B753.G33 I3 2011,0,0
B753.G33 I3 2011,1,0
B753.G33 I3 2011,0,0
B753.G33 I3 2011,0,0
B753.G33 T532 2003,0,0
B753.G34 B565 2008,0,2
B753.G34 I446 2011,0,0
B753.G34 M57124 2005,0,0
B753.I24 A3512 2011,0,0
B753.I24 A77 2013,1,0
B753.I24 B33 2005,2,0
B753.I24 Q93 2010,0,0
B753.I24 S365 2006,0,0
B753.K454 F35 2013,0,0
B753.K54 T8 2009,0,0
B753.M84 F35 2010,0,0
B753.M84 M45 2013,2,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 1999,0,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,1,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,0,0
B753.M84 W67 2001,1,0
B753.M84 W67 2001,1,0
B753.M84 W67 2001,0,0
B753.M84 W67 2004,1,0
B753.M84 W67 2004,1,0
B753.M84 W67 2004,1,0
B753.M84 W67 2004,1,0
B753.N374 U33 2007,0,0
B753.R384 J33 2011,0,1
B753.R44 A73 2010,0,0
B753.S23 S453 2012,0,0
B753.S833 T35 2009,1,0
B753.S833 Z85 2012,1,0
B753.S834 N87 2012,1,0
B753.S84 C67 2006,0,0
B753.T874 U88 2012,0,0
B755 .K38 2014,4,0
B759.M34 H3513 2014,2,1
B765.A24 M365 2013,1,0
B765.A84 M36 2013,0,1
B765.A84 S65 2014,0,1
B765.B74 C66 2014,4,0
B765.G74 I58 2003,1,0
B765.G83 D48313 2013,0,0
B765.H74 P652 2013,0,0
B765.N54 F84 2014,0,0
B765.N54 Z54 2014,0,0
