"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"GR268.A73 R585 2012","0","0"
"PJ7575 .M375 2009","1","0"
"DC237 .R49 2014","0","0"
"PJ7561 .M85 2011","0","0"
"HV6430.A1 F33 2012","0","0"
"HV6433.K4 H64 2014","1","0"
"JF1601 .O24 2014","1","0"
"HT325 .S26 2014","0","0"
"HV6533.T4 R53 2014","1","0"
"TX724 .S539 2014","4","0"
"HD5856.U5 H45 2014","3","0"
"JN2997 .R43 2014","2","1"
"HM626 .S62 2014","0","0"
"JC571 .C319 2014","0","0"
"BF311 .S375 2014","0","0"
"U167.5.I8 C73 2014","4","0"
"PN1992.8.M38 L68 2014","0","0"
"HT1127 .G69 2014","4","1"
"HE355.3.E94 A95 2014","2","0"
"HV6433.786.A786 C45 2014","0","0"
"HD2337 .P694 2014","1","0"
"PN1992.4.W49 R43 2014","3","0"
"HN79.A17 A43 2014","1","0"
"JV151 .M48 2014","1","0"
"HM871 .M83 2014","0","0"
"HD9576.C52 T39 2014","0","0"
"JQ1809.A15 K48 2014","1","1"
"KJ147 .D57 2013","2","0"
"HF1586.5 .G56 2013","0","0"
"HV6773.52 .M86 2014","1","0"
"JC599.E9 H865 2014","1","0"
"HM728 .S65 2014","2","0"
"JF1525.A8 J44 2014","5","1"
"PN1992.77.D6277 J68 2014","2","1"
"HD9866.S682 S29 2014","2","0"
"HX523 .M37663 2014","2","1"
"JC580 .K68 2014","2","0"
"LB3064.4.E85 C35 2014","2","0"
"HB501 .S919513 2014","6","0"
"HD5708.46 .J36 2014","1","0"
"H62.5.U5 B63 2014","4","0"
"H62 .C69618 2015","13","0"
"JC423 .M366 2013","0","0"
"HV1568 .D5688 2014","5","0"
"JQ3769.A558 S35 2013","0","0"
"JC574.2.E85 D76 2013","1","0"
"HV6432.4 .E454 2014","0","0"
"LC1201 .H34 2014","0","0"
"LC4069.6 .N86 2014","1","0"
"HF5548.85 .I47 2014","1","0"
"P281 .L13 2014","0","0"
"JC598 .L534 2014","2","0"
"H62.A5 C67 2014","5","0"
"JZ3691.I64 F47 2013","0","0"
"HM1206 .M43 2014","1","0"
"KF319 .G475 2014","0","0"
"LB1065 .S82 2002","0","0"
"HD1698.I5 Y37 2013","0","0"
"HT168.N4 N49 2014","4","1"
"HD8039.D5 B37 2014","2","0"
"HC427.95 .Z43 2014","0","0"
"HT1521 .S35 2013","1","0"
"HC427.95 .L5354 2014","1","0"
"P294.5 .B58 2014","0","0"
"HM1121 .K36 2014","0","0"
"LB1139.3.G7 U75 2014","1","0"
"HD4903.5.U6 G74 2014","0","1"
"HQ784.V55 B58 2014","2","0"
"PL989.9.H6 C4512 2012","0","0"
"BP64.E3 I46 2012","0","0"
"PQ2677.U486 Z46 2013","1","0"
"PR9199.3.D5518 P35 2008","0","0"
"DS904 .P87 2012","0","0"
"N6559.A22 A4 1999","3","0"
"DC611.H335 G56 2013","1","0"
"B840 .Y33 2014","2","0"
"DF605.C63 B83 2014","5","0"
"E895 .D37 2014","0","0"
"PL8276.9 .O936 2014","1","0"
"DA925 .F36 2014","2","0"
"E359.5.C7 R63 2014","0","0"
"PN1993.5.I88 L89 2014","5","0"
"PS153.N5 D73 2014","6","0"
"BJ1533.K5 T83 2014","1","0"
"PS169.E25 H68 2014","5","0"
"E458.4 .W554 2014","2","1"
"PN3491 .K67 2014","1","0"
"PS374.G68 S57 2014","5","0"
"PA4272 .E5 2014","0","0"
"PA4272 .E5 2014","0","0"
"B105.F66 B65 2014","1","0"
"BX8611 .H68 2014","2","0"
"D804.66.T76 T77 2014","1","0"
"DU65 .B87 2014","3","1"
"DS732 .M56 2013","0","0"
"F1221.S43 M27 2014","0","0"
"BP80.S5365 A94 2014","0","0"
"B945.C274 D34 2014","1","0"
"E184.A24 T46 2014","0","0"
"PR9381.9.A223 D78 2014","0","0"
"PS3568.E68 F38 2014","0","0"
"E207.A4 D84 2014","0","0"
"BX8677.K57 H69 2014","1","0"
"E199 .S785 2014","0","0"
"DS134.26 .V37 2014","2","0"
"PS3569.A5146 N68 2014","1","0"
"PA6395 .S56 2014","0","0"
"BX1403.3 .C87 2014","1","0"
"DT395.3 .V46 2014","0","0"
"BX1753 .M3545 2014","0","0"
"HQ1410 .P65 2014","1","0"
"PN56.3.I6 R54 2014","3","0"
"PQ3949.2.P573 A6413 2014","0","0"
"PR6045.O72 Z89226 2014","1","0"
"PS1171 .G33 2014","0","0"
"DS917 .P3596 2013","0","0"
"DT295.3.S53 A3 2010","0","0"
"PQ2726.A43 F48 2014","0","0"
"GB746 .T68 2014","0","0"
"PR6119.T338 L47 2013","0","0"
"BP190.5.R4 S29 2012","0","0"
"PQ7298.29.A466 A63 2012","2","0"
"BR844 .F56 2014","0","0"
"PL994.2.I3 S27 2013","3","0"
"PR6052.E574 D75 2014","2","0"
"BS2615.53 A67 2014","0","0"
"PN1995.9.M34 R43 2014","1","1"
"PR6069.U386 P75 2013","0","0"
"DS924.T655 Y82 2012","0","0"
"PQ7291.O2 R3 2012","0","0"
"PQ7298.16.A33 I34 2013","0","0"
"PQ7298.16.A33 I57 2012","0","0"
"PQ7297.A8365 P37 2012","0","0"
"ND1063.4 .C438 2011","1","0"
"BX4662 .H325 1994","2","0"
"CB251 .K555 2012","2","0"
"BP173.75 .U4145 2010","1","0"
"BP173.75 .U4145 2010","1","0"
"PJ7816.A2 A6 2008","0","0"
"KBP380.M86 A2 2012","0","0"
"PN56.5.W64 M85 2013","0","0"
"HD9621.F82 C66 2014","0","0"
"PQ7298.432.E435 Z46 2013","1","0"
"KBP440.6.I43 K36 2012","0","0"
"PA4004 .H46 2013","1","1"
"PJ7846.A46 Z98 2011","0","0"
"PJ7846.A46 Z98 2011","0","0"
"NB1810 .M45x 2014","0","0"
"DT236 .N4713 2014","0","1"
"D786 .J64 2014","1","0"
"DS779.46 .K47 2014","1","1"
"PN1995.9.S668 H47 2014","0","0"
"B945.D44 D493 2014","0","0"
"PS3559.G54 D57 2014","5","0"
"D523 .E37 2014","0","0"
"HQ185.A5 S248 2014","1","0"
"PN187 .H37 2014","1","0"
"PT2359.H2 T36 2014","0","0"
"DF214 .H26 2014","5","0"
"DA927 .I76 2014","0","0"
"PS3610.O325 K56 2014","1","0"
"PN3503 .E66 2014","4","0"
"PN56.M87 P44 2014","0","0"
"E230 .S436 2014","3","0"
"D763.N6 D59 2014","0","0"
"BD331 .R34 2014","3","0"
"PS3551.D65 P74 2014","1","0"
"PS3563.A8355 Z82 2014","1","0"
"PS3606.U53 S86 2014","0","0"
"E480 .T73 2014","3","1"
