"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"DL147 .S2413 2015","4","0"
"HQ1190 .U6165 1998","0","0"
"D974 .E86 2014","1","1"
"JC143.M4 A48164 2001","1","0"
"HF3021 .A44 2015","0","0"
"KF4842 .W33 2015","2","0"
"HD8039.S86 C853 2015","2","0"
"HV6432.44.F67 P67 2015","1","0"
"HD3484.A4 M56 2015","0","0"
"HD1773.A5 R63 2015","3","0"
"HF5465.U4 H69 2015","1","0"
"HM1231 .S73 2015","6","0"
"KNQ465 .J66 2015","0","0"
"KD554 .J87 2015","2","0"
"LC1024.G7 P65 2015","0","0"
"QC973.5 .F33 2015","0","0"
"KG546 .R57 2015","0","0"
"QC903 .L53 2015","0","0"
"HT384.C62 L56 2015","0","0"
"HD30.28 .R41927 2015","0","0"
"KNE176.6 .C74 2015","0","0"
"HQ792.G73 G65 2015","3","0"
"HD1538.S6 C667 2014","0","0"
"HV9950 .K45 2015","2","0"
"LB2395.35 .F56 2015","0","0"
"JA86 .K37 2015","4","0"
"JQ1846.A69 P64 2015","1","0"
"HD9015.S652 H86 2015","3","0"
"HN660.A8 G66 2015","2","0"
"LB2331.65.W47 Q35 2015","0","0"
"HV6485.A82 N497 2015","0","0"
"LB1607.5 .N64 2015","2","0"
"JK468.I6 L46 2015","0","1"
"LA229 .K49 2015","3","0"
"PN6222.V4 A14 2014","0","0"
"PQ6185 .Z66 2014","1","0"
"HV1431 .N47 2015","0","0"
"GE198.Y45 F37 2015","2","0"
"E98.S6 N49 2015","3","0"
"HG3978 .S74 2015","1","0"
"GN17.3.I75 A28 2015","0","0"
"K415 .H45 2015","1","0"
"GN269 .S65 2015","5","0"
"E99.M6815 P53 2015","3","0"
"HB74.P65 H658 2015","0","0"
"HQ1034.L29 D54 2015","1","0"
"JV4215 .M96 2015","1","0"
"JC177.A4 L36 2015","1","0"
"GV1061.15.R83 L53 2015","2","0"
"HV6433.F7 A38 2015","4","0"
"HM746 .J645 2015","2","0"
"HT169.E85 M3713 2015","0","0"
"HN79.C83 C6479 2015","0","0"
"HV881 .O15 2015","0","0"
"P301.5.P67 E54 2015","3","0"
