"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"CC135 .E965 2017","0","0"
"DT546.44 .L68 2014","1","0"
"PQ2674.A88 Z56 2017","0","0"
"JS4903 .G74 2017","0","0"
"D13.5.F8 R43 2017","0","0"
"PQ7798.416.E674 P55 2015","0","0"
"HD4802 .R42 v. 45","0","0"
"F2239.B55 E53 2015","0","0"
"PQ8098.416.R58 I53 2016","0","0"
"B1049.E354 A4 2016","0","0"
"PN518 .B239 2016","0","0"
"PH5339.U55 E4818 2016","0","0"
"PQ6635.A32 Z85 2016","0","0"
"BR60 .C6 v. 103","0","0"
"N7113.G68 J33 2016","0","0"
"DS777.5366.X536 W37 2007","0","0"
"DS777.488.C5 J54 2003","0","0"
"NA2890 .Z34 2015","0","0"
"QH541 .G46 2017","2","0"
"HF5415.32 .F69 2017","0","0"
"HB523 .M33 2017","0","0"
"HG1615 .Z43 2017","0","0"
"P149 .B36 2017","0","0"
"KF384 .C64 2017","0","0"
"KNQ2020 .L452 2017","1","0"
"HN49.R33 M23 2017","10","0"
"HC427.95 .L63 2017","0","0"
"HV1568 .K335 2017","0","0"
"GT738 .B53 2017","0","0"
"HV5840 .D784 2016","0","0"
"E78.U55 E44 2017","0","0"
"P165 .E55 2017","0","0"
"HF5823 .E88 2017","0","0"
"HD8072.5 .W37 2017","1","0"
"K3585.5 .E58 2017","1","0"
"P35 .M4995 2016","0","0"
"HV9950 .K453 2017","0","0"
"GV965 .S29 2017","0","0"
"HM1281 .J343 2017","0","0"
"HB3722 .N39 2017","1","0"
"HM1126 .L445 2016","0","0"
"GE195 .I58 2017","0","0"
"HC605 .K339 2017","0","0"
"HT175 .F324 2017","0","0"
"HN90.R3 F625 2017","0","0"
"BF575.G7 P68 2017","2","0"
"HF5387 .R473 2016","0","0"
"HF357 .P37 2017","0","0"
"HM708 .S634 2017","0","0"
"HF1379 .R445 2017","0","0"
"LB1727.I5 T432 2017","0","0"
"HV6431 .T48659 2017","1","0"
"HM585 .K6613 2017","0","0"
"RB150.F37 R44 2017","3","0"
"HJ1230 .C54 2016","0","0"
"HN90.R3 M22 2017","1","0"
"JZ1318 .M527 2017","0","0"
"HD49 .J654 2017","1","0"
"LB1584 .B48 2017","0","0"
"HV875 .M358 2017","1","0"
"HG3903 .B47 2017","0","0"
"P302.84 .C37 2017","0","0"
"GN388 .D58 2017","1","0"
"P119.32.S63 E64 2017","0","0"
"JZ5588 .G56 2017","0","0"
"BV2082.I57 H63 2017","0","0"
"LB2157.U5 L95 2017","0","0"
"LB1573 .M3342 2016","1","0"
"LB1573 .B47 2016","0","0"
"HM901 .W549 2017","0","0"
"HX73 .A82 2017","0","0"
"P53.755 .A95 2017","0","0"
"HB172 .C598 2017","1","0"
"KD3177.M42 H39 2017","0","0"
"LB2342.92 .S75 2017","1","0"
"P301.5.A27 S56 2017","3","0"
"GT2345 .B43 2017","3","0"
"PN1992.3.U5 R63 2017","0","0"
"LC1200 .H57 2017","0","0"
"KF354.S6 B87 2017","1","0"
"KF4550 .B743 2017","1","0"
"E98.E85 E45 2017","1","0"
"E99.C5 B88856  2017","0","0"
"JC75.O43 S56 2017","1","0"
"HM851 .D57 2017","0","0"
"HM585 .H635 2017","0","0"
"HC110.C6 R623 2017","1","0"
"JK1118 .P57 2017","2","0"
"UA15 .B45 2017","1","0"
"JC328.6 .S24 2017","1","0"
"E99.M6 L45 2017","0","0"
"LB2345 .A35 2017","1","0"
"HV9104 .L66 2017","0","0"
"E99.C5 G16 2017","0","0"
"HD1761 .E452 2017","0","0"
"KZ6530 .I54 2017","0","0"
"LC238 .B46 2017","1","0"
"E78.O5 L38 2017","0","0"
"UA832 .M67 2017","0","0"
"E99.K16 K46 2017","0","0"
"UA23 .N2487 2017","1","0"
"JC143.M4 H37 2017","0","0"
"LB1778.2 .B474 2017","0","0"
"HC95.Z9 C67 2017","0","0"
"LB1715 .T399 2017","0","0"
"JV7225.2 .T84 2017","0","0"
"PN6777.T65 V5 2016","0","0"
"PQ7797.B635 Z91764 2016","0","0"
"PQ6337 .L829 2016","0","0"
"B4530 .R35 2016","0","0"
"F2823.M6 H45 2016","0","0"
"HV6446 .W658 2017","2","0"
"PQ7820.S23 E654 2016","0","0"
"PN1993.5.S7 C35 2015","0","0"
"F2849.2 .O237 2015","0","0"
"HD5855 .L33 2016","0","0"
"DP269.8.P65 I43 2017","0","0"
"PQ7797.V4214 C84 2015","0","0"
"HQ1236.5.L37 M849 2016","0","0"
"HT145.S7 C37 2016","0","0"
"F1219.1.C45 H47 2015","0","0"
"PQ6633.U3 Z73 2017","0","0"
"PQ6659.R53 P47 2016","0","0"
"E184.M5 D8585 2016","0","0"
"PJ7846.A687 Y34154 2017","1","0"
"PQ6072 .T67 2016","1","0"
"BM390 .L437 2016","1","0"
"BR133.I75 B3413 2001","0","0"
"LC196.5.C5 H47 2016","0","0"
"PJ7974.A338 A53 2014","0","0"
"PJ7976.A27 W33 2014","0","0"
"PJ7962.H3734 Q33 2016","0","0"
"PJ7938.B7115 Q87 2017","0","0"
"PJ7962.I76 S35 2014","0","0"
"PJ7962.A2315 A86 2014","0","0"
"DT107.828.M82 Y34 2014","0","0"
"PJ7958.A765 R83 2017","0","0"
"F2273 .P48 2015","0","0"
"DS109.86.Y357 A3 2016","0","0"
"JL2620.C58 C379 2016","0","0"
"BQ982.U98 R82 2008","0","0"
"BP130.2 .S485 2016","0","0"
"HM851 .M364 2016","0","0"
"BS680.E9 R83 2016","0","0"
"PQ7082.N7 R68 2015","0","0"
"DS799.82.H853 A3 2008","0","0"
"PQ7298.26.A75 Z46 2014","0","0"
"HX928.M33 H65 2016","0","1"
"DS799.82.L598 A3 2008","0","0"
"DS776 .K85 1988","0","0"
"DS776 .K85 1988","0","0"
"JL2298.M28 G38 2015","0","0"
"BQ649.T32 F364 2009","0","0"
"PJ7976.A29 F5 2016","1","0"
"PJ7840.U255 H243 2016","0","0"
"PN1998.3.M33882 A3 2016","0","0"
"PJ7974.A763 Q23 2017","0","0"
"CJ6392 .C58 1991","0","0"
"DS799.82.K87 G862 2008","0","0"
"BP77.2 .W27 2016","0","0"
"HD9198.T32 R5 2008","0","0"
"PJ7960.A826 N35 2015","0","0"
"PJ7842.H2845 S53 2014","0","0"
"PQ4863.A3894 R47 2017","0","0"
"PR9369.3.C58 Z84 2017","0","0"
"E185.615 .C3516 2017","0","0"
"DA570 .R5813 2017","1","0"
"BM516.5 .J335 2017","0","0"
"PL3031.T3 L55233 2017","0","0"
"PS3537.T323 Z864 2016","0","0"
"BR65.A6 E5 2017","1","1"
"DA130 .M37 2017","1","0"
"PE1139 .K43 2017","0","0"
"DS195.5 .T223 2017","0","0"
