"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"D5 .B4 fasc. 344","0","0"
"F2169 .R45 2011","0","0"
"UA853.I7 I7199 2011","7","0"
"HC10 .E366 nr.192","1","0"
"HC10 .E366 nr.191","2","0"
"RC464.F67 A3 2011","8","1"
"RC550 .C37 2011","2","0"
"UB803 .B28 2011","1","0"
"PS3615.C695 U58 2011","1","0"
"PN6165 .M358 2011","9","1"
"RC971 .K57 2011","0","0"
"PR6068.O346 T47 2011","3","0"
"NA5470.T3 T46 2010","1","0"
"G180 .T54 2011","3","1"
"LC5751 .M35 2011","0","0"
"JC319 .R37 2011","5","0"
"JC319 .R37 2011","2","0"
"PS1541.Z5 S63 2010","2","0"
"UG1242.D7 M35 2011","2","0"
"PN1993.5.C6 K83 2009","0","0"
"BD190 .Z467 2011","0","0"
"PN6065.A61 H356 2004","0","0"
"HC202 .M65142 2010","0","0"
"HD2755.5 .B45 2010","0","0"
"HC202 .M6587 2010","0","0"
"HT166 .B64 2009","2","0"
"PQ8220.424.U54 S54 2009","0","1"
"KHK2983 .L67 2009","0","0"
"HC425.Z9 P64 2009","1","1"
"F2849.33.F47 W35 2010","2","1"
"HJ9395 .V37 2006","0","0"
"F3736.R62 R62 2010","0","0"
"PT2625.O64 I685 2009","0","0"
"DA685.B35 A56 2011","0","0"
"HD4904.25 .E4 2010","0","0"
"HE8700.4 .T446 2011","1","0"
"HD2346.S73 I8 2010","0","0"
"F1789.N3 R6 1994","2","0"
"F3741.L6 R35 2008","1","0"
"PQ2704.A48 I44 2011","0","0"
"PQ2603.U73 Z717 2011","0","0"
"PQ2607.E834 Z79 2011","0","0"
"PN6065.A61 S434 2005","0","0"
"PN6065.A61 S437 2002","0","0"
"PQ2613.R124 Z4581 no.7","1","0"
"PL7101.D48 P467 2011","0","0"
"F2847 .P447 2010","0","0"
"HV6248.V45 S66 2010","0","0"
"E445.S7 W47 2004","4","0"
"NA839.T39 S33 2010","0","0"
"B2430.D454 S53 2008","4","0"
"HQ76.3.L29 M373 2010","1","0"
"HD1531.A7 O785 2010","0","0"
"PQ7798.33.A4 Z77 2010","0","0"
"PL6601 .G738 2010","2","0"
"DS557.73 .F76 1990","2","0"
"PL4659.K33 A24 2004","0","0"
"LA428.7 .T665 2010","0","0"
"HQ60 .J83 1991","2","0"
"PQ6091 .P564 2010","0","0"
"PQ6434 .A1 2011","0","0"
"PQ2189.B32 Z55 2011","0","0"
"PK6239.5.E5 S24 2007","7","0"
"PK6239.5.E5 S24 2007","2","0"
"PK6239.5.E5 S24 2007","3","1"
"PK6239.5.E5 S24 2007","0","1"
"PK6239.5.E5 S24 2007","3","1"
"PK6239.5.E5 S24 2007","1","1"
"PK6239.5.E5 S24 2007","4","1"
"PK6239.5.E5 S24 2007","0","1"
"PK6239.5.E5 S24 2007","2","0"
"DS79.76 .F575 2011","0","1"
"PN6065.A61 T659 2005","0","0"
"PN6065.A61 T659 2005","0","0"
"D2001 .I6 2004","0","1"
"PK6540 .B2 2008","2","1"
"PK6540 .A2 2008","2","0"
"PK6540 .G2 2008","2","0"
"PN6065.A61 T653 2002","0","0"
"PN6065.A61 T653 2002","1","0"
"PN6065.A61 T653 2002","0","0"
"PN6065.A61 T653 2002","1","0"
"DC269.C3 M56 2011","0","0"
"PT1695.W4 O836 2011","0","0"
"PT2663.I2 Z71 2010","0","0"
"PR3534 .C5 1924","0","0"
"E332 .H77 1931","3","1"
"PR4560 .A1 2011","12","0"
"HD6053 .K66 2010","4","0"
"PR6101.L45 U58 2011","2","0"
"DF553 .S36 2010","2","1"
"PR4037 .D47 2011","9","1"
"PS3616.R3833 B63 2010","0","0"
"PS3612.E5424 E25 2010","0","0"
"PS3619.A4 T86 2011","2","1"
"D286 .S28 2011","0","0"
"DS357.6.F7 N68 2011","0","0"
"Z658.C6 L494 2011","0","0"
"D34.G8 M38 2011","0","0"
"PN1995 .L567 2011","0","1"
"PR115 .V52 2011","0","0"
"PR115 .V52 2011","0","0"
"PR115 .V52 2011","0","0"
"PR115 .V52 2011","0","0"
"PL2278.5.M55 L824 2010","0","0"
"HG1601 .R44 2011","1","0"
"DS119.6 .S34 2010","2","0"
"DD247.H5 K458 2011","0","0"
"DB2217 .L69 2010","0","0"
"PN1998.3.P593 C75 2010","0","0"
"DK507.73 .A25 2010","0","0"
"HD9696.2.C64 F364 2011","0","0"
"PT2688.O33 F37 2011","0","0"
"PS3563.C3663 Z85 2011","0","0"
"DC146.R718 A3 2011","0","0"
"PQ6666.A3965 M312 2010","0","0"
"HC800 .T476 2010","3","0"
"PN519.H8 F89 2010","0","0"
"PN519.H8 F89 2010","0","0"
"B2430.D454 D4565 2011","6","0"
"CS859 .B657 2010","1","0"
"PG2991.3 .S46 2010","0","0"
"B127.H4 Y8 2010","0","0"
"PQ2603.L43 Z623 2011","0","0"
"HV250.3.Z9 L58 2011","1","0"
"DS32.9.R9 T65 2011","9","1"
"PG5039.21.R335 P64 2010","0","0"
"BL41 .B83 2010","0","1"
"B1284 .A57 2011","7","0"
"PL2831.T3 J53 2010","1","0"
"GT4883.H894 H89 2010","0","0"
"PN1998.3.H372 P37 2010","1","0"
"DA565.C4 C76 2011","4","1"
"PG7175.I495 K89 2010","0","0"
"PG5039.18.R23 Z65 2010","0","0"
"PK6239.5.E5 S263 2010","4","0"
"PK6239.5.E5 S263 2010","2","0"
"PK6239.5.E5 S263 2010","2","0"
"PK6239.5.E5 S263 2010","2","0"
"PK6239.5.E5 S263 2010","2","0"
"PG5008 .B58 2010","0","0"
"DS896.3 .S29 1893","1","0"
"G600.5 .B74 2010","0","0"
"DB2500.S94 S73 2010","0","1"
"DB2500.S94 S73 2010","1","1"
"HM487 .H384 2010","0","0"
"HC79.P6 I647 2010","2","0"
"BT83.55 .V656 2010","0","0"
"E745.P3 K33 2011","0","0"
"PQ4065 .T498 2011","1","2"
"HT111 .V23 2010","0","0"
"HG178.33.U33 S737 2010","1","0"
"PN6065.A61 F686 2007","1","0"
"PN6065.A61 E656 2005","0","0"
"PN6065.A61 E656 2005","0","0"
"D640 .T795 2010","0","0"
"DS121.65 .J6715 2010","3","0"
"NA2543.S6 H86 2010","0","0"
"PG3483.U6 D6 2010","0","1"
"HD9744.V433 S68717 2010","0","1"
"PN2728.V3 E84 2011","1","1"
"PN2728.V3 E84 2011","1","1"
"HN373.5 .S68 2011","0","0"
"DD78.S5 M95 2009","1","0"
"DD78.S5 M95 2009","1","0"
"PG3483.3.U746 P65 2010","1","0"
"PG2691 .P76 2010","0","0"
"PN6065.A61 A883 2007","1","0"
"PN6065.A61 A883 2007","1","0"
"Z305.N68 V54 2011","0","0"
"E188 .I795 2011","0","0"
"PN1998.3.F45 F49 2009","1","0"
"PN2788.L598 G37 2010","0","0"
"DP361 .L37 2011","3","0"
"NX514.A1 B53 2010","1","0"
"JV6346 .E979 2011","0","0"
"LC4096.G7 C86 2011","0","0"
"LB1584.5.C6 L38 2011","1","0"
"BF1078 .J36 2011","2","2"
"LC995 .E38 2011","1","0"
"LC1011 .E39 2011","0","0"
"BF531 .F77 2011","1","1"
"HV6250.4.W65 G464 2011","3","0"
"HC340.5 .A85 2011","1","0"
"LB2905 .L43 2011","0","0"
"JZ6045 .M45 2011","0","1"
"HM585 .N4587 2011","1","0"
"HG3881 .A44 2011","4","1"
"LB1575.8 .R67 2011","4","1"
"HV6080 .W67 2011","0","0"
"LB3475 .S36 2011","2","0"
"LB1775 .J39 2011","0","0"
"GV850.4 .L39 2011","1","1"
"HM1033 .S6423 2011","2","0"
"JN1121 .U534 2011","0","0"
"JZ1480.A54 R44 2011","5","1"
"LC2741 .G54 2011","2","0"
"BF724.85.C64 P677 2011","1","0"
"HX833 .A5685 2011","5","0"
"GN281 .S453 2011","2","0"
"HG4028.M4 A78 2011","0","0"
"BF575.A86 C75 2011","2","0"
"HE9797.4.S4 K65 2011","0","0"
"HD9710.U52 L88 2011","7","0"
"HQ792.2 .C45 2011","1","0"
"JZ5584.K4 C66 2011","2","1"
"GN298 .C68 2011","4","0"
"HV6021 .B27 2011","1","0"
"JZ5534 .C745 2011","9","0"
"HQ799.5 .D36 2011","4","0"
"HV5801 .D78 2011","4","2"
"K3927 .W35 2011","5","0"
"BF778 .M38 2011","0","0"
"HB3782 .E87 2011","9","0"
"HG176.7 .F558 2011","2","0"
"JC571 .R82 2011","0","0"
"JC573.2.U6 T47 2010","1","0"
"HG4551 .A734 2011","0","0"
"HD216 .G76 2011","2","0"
"GF540 .W65 2011","3","0"
"U167.5.I8 A77 2011","4","0"
"KD7973 .M37 2011","2","0"
"HV6432 .B464 2011","1","0"
"LB2822.2 .G78 2011","0","0"
"BF325 .P38 2012","2","1"
"HT371 .E53 2011","2","0"
"JZ1310 .M35 2011","0","0"
"U22 .T58 2011","4","1"
"HV6433.35 .W55 2011","0","0"
"HD2810.5 .T66 2011","0","0"
"HV6534.N5 C66 2011","4","0"
"HQ772 .N473 2011","0","1"
"HB143.7 .B35 2011","1","0"
"GV943.3 .O74 2011","0","0"
"HG4928.5.H37 A3 2011","0","0"
"BF818 .D43 2011","2","0"
"HD9571.9.B73 M36 2011","0","0"
"JN40 .W45 2011","1","0"
"JF1525.P85 B77 2011","0","0"
"HB501 .J36 2011","5","0"
"JK1726 .M36 2011","1","0"
"HV8055 .S43 2011","1","0"
"GN550 .K35 2011","2","0"
"U101.S96 A44 2011","3","2"
"HJ5404.Z73 R87 2011","0","0"
"HQ1885 .T73 2011","3","1"
"HQ281 .P36 2011","1","0"
"GV697.Z26 V36 2011","0","0"
"PQ2607.E75 P65 2010","1","0"
"PS3613.I552 C57 2010","1","0"
"JN30 .C68 2011","0","0"
"PR9199.4.C65 O6 2010","1","0"
"LB1576 .A67 2011","3","1"
"GV944.C5 E57 2011","4","0"
"LC3965 .R43 2011","1","0"
"KF4550 .B377 2011","1","0"
"HV6791 .A585 2011","2","0"
"HF1385 .G68 2011","1","0"
"HQ1121 .F64 2011","1","0"
"HD714 .D46 2011","1","0"
"KD502 .I58 2011","5","1"
"HD61 .O83 2011","1","0"
"JZ1318 .P76 2011","1","0"
"JF1351 .L68 2011","0","0"
"G530.T6 W55 2011","1","1"
"HT170 .K57 2011","2","0"
"JL1410 .R66 2011","0","0"
"TF25.U5 K532 2011","0","0"
"LA227.4 .A446 2011","3","0"
"GV1196.K63 P36 2011","0","0"
"HQ1197 .B56 2011","1","1"
"TX360.U6 I575 2011","1","0"
"JC573.2.U6 C74 2011","2","0"
"KF3050 .C888 2011","4","1"
"JL2631 .S67 2011","3","0"
"JK468.I6 I5 2011","5","1"
"QC773.3.U5 W55 2011","1","0"
"BF698.9.C8 P46 2011","0","3"
"HV7254.A7 O25 2011","15","1"
"HC110.T4 H34 2011","1","0"
"HQ18.C6 L46 2011","1","0"
"HN398.E5 S627 2011","4","0"
"PQ4064 .A57 2011","0","0"
"HN700.67.A8 S565 2011","3","0"
"PQ4053.W37 E27 2010","0","0"
"DG284 .B86 2010","1","0"
"PQ4861.R33 Z46 2011","0","0"
"BT685 .L36 2011","1","0"
"PN1993.43.P73 F47 2009","0","0"
"PN6065.A61 B66 1998","0","0"
"PQ2680.E38 C6 2011","1","0"
"PC3365.F3 A678 2010","1","2"
"PR4161.B963 O5","1","0"
"HF5823 .B438 2011","5","0"
"D764.3.L4 V34 2011","0","0"
"HC336.27 .L45 2011","0","0"
"N7168.6 .T33 2011","3","0"
"PN6065.A61 B845 2007","0","0"
"PH3213.C744 Z65 2010","0","0"
"PN6065.A61 B876 2006","0","0"
"HD8380.5 .B7 2010","0","0"
"PQ7797.B635 Z87 2011","0","0"
"PN6065.A61 B878 1998","0","0"
"PH3404.S5 S9545 2010","0","0"
"PC4107 .E93 2010","0","1"
"PG3549.T76 C48 2010","1","0"
