Subject,Total Items,Total Usage,Items/Usage Rate
General Works,1,9,0.11
"Philosophy, Psychology, Religion",3849,5472,0.7
Aux Sci History,339,462,0.73
World History,6129,6108,1.0
American History,862,2078,0.41
Local American History,1014,1278,0.79
"Geography, Anth, Recreation",1097,1803,0.61
Social Sciences,5485,8133,0.67
Poli Sci,1544,2046,0.75
Law,573,665,0.86
Education,1150,1812,0.63
Fine Arts,500,375,1.33
Language-Literature,16835,18100,0.93
Science,91,166,0.55
Medicine,316,580,0.54
Technology,178,434,0.41
Military Sci,329,474,0.69
Naval Science,50,96,0.52
Library Science,177,123,1.44
