Subject,Total Items,Total Usage,Items/Usage Rate
General Works,72,55,1.31
"Philosophy, Psychology, Religion",4258,3547,1.2
Aux Sci History,318,272,1.17
World History,6923,4452,1.56
American History,778,1356,0.57
Local American History,1027,714,1.44
"Geography, Anth, Recreation",946,833,1.14
Social Sciences,5144,4571,1.13
Poli Sci,1546,1377,1.12
Law,856,367,2.33
Education,1120,1155,0.97
Fine Arts,374,219,1.71
Language-Literature,18361,12469,1.47
Science,74,70,1.06
Medicine,341,404,0.84
Technology,208,240,0.87
Military Sci,187,174,1.07
Naval Science,22,7,3.14
Library Science,216,87,2.48
