Subject,Total Items,Total Usage,Items/Usage Rate
General Works,3,0,0
"Philosophy, Psychology, Religion",5103,8899,0.57
Aux Sci History,464,572,0.81
World History,7508,8409,0.89
American History,1028,2636,0.39
Local American History,1115,1684,0.66
"Geography, Anth, Recreation",1347,2358,0.57
Social Sciences,6450,11025,0.59
Poli Sci,1902,3061,0.62
Law,847,1019,0.83
Education,1361,2449,0.56
Fine Arts,621,453,1.37
Language-Literature,19641,23934,0.82
Science,156,248,0.63
Medicine,597,1325,0.45
Technology,216,359,0.6
Military Sci,407,692,0.59
Naval Science,80,146,0.55
Library Science,439,293,1.5
