Year,Items acquired,Times used,Requests
2008,1787,469,
2009,1710,609,
2010,1437,786,1105
2011,1115,674,1272
2012,1014,639,1414
2013,1370,731,1453
2014,1027,500,1435
2015,1102,541,1106
2016,892,365,1253
2017,1026,283,
