Year,Items acquired,Times used,Requests
2008,4,1,
2009,11,4,
2010,39,34,310
2011,3,0,334
2012,1,4,291
2013,20,12,304
2014,72,38,416
2015,84,54,460
2016,61,32,440
2017,63,25,
