Year,Items acquired,Times used,Requests
2008,548,95,
2009,383,131,
2010,403,179,609
2011,464,229,577
2012,339,231,672
2013,366,190,647
2014,318,190,766
2015,295,123,628
2016,208,89,631
2017,199,81,
