Year,Items acquired,Times used,
2008,835,182,
2009,783,297,
2010,839,373,486
2011,847,408,529
2012,573,332,611
2013,830,292,667
2014,856,257,553
2015,645,275,603
2016,514,711,578
2017,461,94,
