Year,Items acquired,Times used,Requests
2008,20755,4186,
2009,18213,6591,
2010,18187,7745,8123
2011,19641,9574,8934
2012,16835,9050,9728
2013,20402,10269,10465
2014,18361,8728,11118
2015,16965,7549,10467
2016,14718,6133,10267
2017,14032,4036,
