Subject,Total Items,Total Usage,Items/Usage Rate
General Works,84,67,1.25
"Philosophy, Psychology, Religion",4179,2912,1.44
Aux Sci History,295,154,1.92
World History,6037,3397,1.78
American History,697,843,0.83
Local American History,1102,676,1.63
"Geography, Anth, Recreation",881,640,1.38
Social Sciences,4828,3293,1.47
Poli Sci,1373,999,1.37
Law,645,344,1.88
Education,1015,793,1.28
Fine Arts,370,185,2.0
Language-Literature,16965,9436,1.8
Science,76,83,0.92
Medicine,264,228,1.16
Technology,246,225,1.09
Military Sci,165,148,1.11
Naval Science,28,16,1.75
Library Science,214,92,2.33
