Subject,Total Items,Total Usage,Items/Usage Rate
General Works,4,14,0.29
"Philosophy, Psychology, Religion",5378,15048,0.36
Aux Sci History,548,950,0.58
World History,6980,13601,0.51
American History,1568,5823,0.27
Local American History,1787,4693,0.38
"Geography, Anth, Recreation",1682,4879,0.34
Social Sciences,8783,21996,0.4
Poli Sci,2352,5478,0.43
Law,835,1822,0.46
Education,1948,5678,0.34
Fine Arts,692,789,0.88
Language-Literature,20755,41858,0.5
Science,285,796,0.36
Medicine,1081,4211,0.26
Technology,293,1097,0.27
Military Sci,514,1397,0.37
Naval Science,93,301,0.31
Library Science,260,365,0.71
