Year,Items acquired,Times used,Requests
2008,1568,582,
2009,1216,827,
2010,1028,987,1381
2011,1028,1054,1477
2012,862,1039,1971
2013,852,881,1990
2014,778,949,1798
2015,697,674,1692
2016,711,629,1859
2017,735,394,
