Year,Items acquired,Times used,Requests
2008,692,79,
2009,521,136,
2010,470,185,1513
2011,621,181,1485
2012,500,188,1732
2013,653,191,1624
2014,374,153,1645
2015,370,148,1478
2016,298,88,1417
2017,210,35,
