Year,Items acquired,Times used,Requests
2008,1081,421,
2009,763,481,
2010,595,487,1040
2011,597,530,991
2012,316,290,1105
2013,300,275,895
2014,341,283,828
2015,264,182,777
2016,213,165,738
2017,243,115,
