Year,Items acquired,Times used,Requests
2008,260,36,
2009,253,82,
2010,224,84,537
2011,439,117,615
2012,177,62,605
2013,217,75,471
2014,216,61,589
2015,214,74,466
2016,172,57,528
2017,123,40,
