Year,Items acquired,Times used,Requests
2008,5378,1505,
2009,5160,2463,
2010,5248,2944,4347
2011,5103,3560,4757
2012,3849,2736,5107
2013,5140,3023,4368
2014,4258,2483,4374
2015,4179,2330,4344
2016,3347,1573,3945
2017,3116,982,
