"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"DK771.A27 C47 2004","0","0"
"KF224.S3 B7 1997","1","0"
"PR6063.O856 Z46 2008","3","0"
"PR6118.O53 M22 2007","2","0"
"DK757.3 .S67 2007","1","0"
"HC110.D4 R6 2001","7","0"
"PR6054.O289 D47 2008","1","0"
"HQ789 .D47 2000","2","1"
"HA32 .G737 2008","26","0"
"PR6116.A24 D97 2007","1","0"
"PR9199.3.M338 D73 2007","0","0"
"B3216 .C3 1995 Bd. 9","0","0"
"PS3612.Y45 M37 2007","0","0"
"B623 .J35 2008","1","0"
"PQ4861.N43 M57 2007","0","0"
"Z246 .Z37 2007","3","0"
"NB157 .T494 2007","1","0"
"BP189.4 .F323 2008","4","0"
"DA405 .D66 2008","0","0"
"E99.C8 T45 2006","2","0"
"PS3608.U766 Z477 2008","1","0"
"PR6058.E554 N67 2008","5","0"
"PS3604.I1557 S73 2008","9","0"
"DK908.6 .S745 2007","1","0"
"E185.2 .V65 2008","7","0"
"P40 .F488 2008","1","0"
"PQ2674.U4 N65 2005","0","0"
"PS648.S3 S276 2007","1","0"
"HG9396 .E37 2008","1","0"
"E78.S8 J45 2008","1","0"
"PQ7261.A54 A75 2007","0","0"
"PR6069.E3654 B88 2008","0","2"
"BS1965.5 2008","4","0"
"DH514 .S58 2008","0","0"
"PA2887 .C66 1998","0","0"
"F1410 .C733 2002","1","0"
"PG2582.T8 R87 2002","2","0"
"HD1471.U52 G47 1992","4","1"
"H33 .W34 1984 Abt. 3, Bd. 5","1","0"
"GN409 .R35 2008","1","3"
"GN17.3.U6 P75 2008","5","1"
"RC438 .F87 2008","7","0"
"LJ34 .B58 2008","17","4"
"GV198.L3 H35 2008","2","0"
"HE8698 .B86 2008","1","0"
"QC16.S26 F73 2008","0","0"
"JC423 .L5845 2008","2","0"
"HV2430 .K65 2008","2","0"
"JV8131 .C5 2008","9","1"
"HD2741 .G657 2008","1","0"
"GE170 .M6195 2008","0","0"
"HG185.B7 S3813 2008","0","0"
"JC578 .F46 2008","1","0"
"HB846.8 .T78 2008","7","0"
"HD6135 .B87 2008","6","1"
"HD1694.A2 D46 2008","1","0"
"HD9502.U54 E579225 2008","5","0"
"GN799.P4 H3345 2008","1","1"
"BF1584.C3 R54 2008","0","0"
"HF5415.32 .Z353 2008","4","0"
"HD2755.5 .R8355 2008","0","0"
"UA646.3 .N2294 2008","5","2"
"JL2499.P62 M67 2008","0","3"
"LC66 .G65 2008","11","0"
"U31 .B34 2008","4","1"
"JK511 .C77 2008","0","0"
"HV2545 .S54 2008","2","1"
"GA221 .H53 2008","6","0"
"JC423 .E47 2008","1","0"
"QH31.H2 R53 2008","2","0"
"HM1106 .H42 2008","4","0"
"HQ1090.5.S68 W45 2008","11","1"
"HX833 .S27 2008","5","0"
"JK1967 .A834 2008","10","0"
"GV863.A1 R33 2008","10","1"
"BF371 .C325 2008","23","2"
"HE8689.4 .B753 2008","0","0"
"BF109.J8 C36 2008","2","0"
"RC280.B8 M337 2008","2","0"
"DS555.84 .I93 2008","2","0"
"GV1643 .D36 2008","6","2"
"HF5549.5.M5 D59 2008","3","0"
"HV8886.U5 C66 2008","4","2"
"LB1631 .D73 2008","0","1"
"KF4600 .C48 2008","1","0"
"LC214.23.L56 E65 2008","1","1"
