Year,Items acquired,Times used,Requests
2008,8783,2200,
2009,7676,3488,
2010,7122,4127,6428
2011,6450,4410,6456
2012,5485,4066,7141
2013,5660,3782,7187
2014,5144,3200,6409
2015,4828,2634,6205
2016,3510,1858,6187
2017,3401,1130,
