Subject,Total Items,Total Usage,Items/Usage Rate
General Works,11,19,0.58
"Philosophy, Psychology, Religion",5160,12314,0.42
Aux Sci History,383,655,0.58
World History,6591,11247,0.59
American History,1216,4137,0.29
Local American History,1710,3043,0.56
"Geography, Anth, Recreation",1429,3555,0.4
Social Sciences,7676,17439,0.44
Poli Sci,2162,4633,0.47
Law,783,1483,0.53
Education,1530,3740,0.41
Fine Arts,521,680,0.77
Language-Literature,18213,32955,0.55
Science,256,687,0.37
Medicine,763,2403,0.32
Technology,184,643,0.29
Military Sci,442,1111,0.4
Naval Science,60,86,0.7
Library Science,253,412,0.61
