Subject,Total Items,Total Usage,Items/Usage Rate
General Works,39,113,0.35
"Philosophy, Psychology, Religion",5248,9812,0.53
Aux Sci History,403,596,0.68
World History,6242,9398,0.66
American History,1028,3291,0.31
Local American History,1437,2619,0.55
"Geography, Anth, Recreation",1331,2900,0.46
Social Sciences,7122,13757,0.52
Poli Sci,1932,3794,0.51
Law,839,1243,0.67
Education,1440,3184,0.45
Fine Arts,470,616,0.76
Language-Literature,18187,25817,0.7
Science,184,364,0.51
Medicine,595,1624,0.37
Technology,191,509,0.38
Military Sci,380,766,0.5
Naval Science,61,173,0.35
Library Science,224,280,0.8
