Subject,Total Items,Total Usage,Items/Usage Rate
General Works,61,36,1.69
"Philosophy, Psychology, Religion",3347,1748,1.91
Aux Sci History,208,99,2.1
World History,4972,2002,2.48
American History,711,699,1.02
Local American History,892,406,2.2
"Geography, Anth, Recreation",747,374,2.0
Social Sciences,3510,2064,1.7
Poli Sci,1076,577,1.86
Law,514,790,0.65
Education,846,482,1.76
Fine Arts,298,98,3.04
Language-Literature,14718,6814,2.16
Science,72,86,0.84
Medicine,213,183,1.16
Technology,151,117,1.29
Military Sci,144,108,1.33
Naval Science,16,8,2.0
Library Science,172,63,2.73
