Subject,Total Items,Total Usage,Items/Usage Rate
General Works,20,20,1.0
"Philosophy, Psychology, Religion",5140,5039,1.02
Aux Sci History,366,316,1.16
World History,6928,5335,1.3
American History,852,1468,0.58
Local American History,1370,1218,1.12
"Geography, Anth, Recreation",1119,1368,0.82
Social Sciences,5660,6303,0.9
Poli Sci,1642,1683,0.98
Law,830,487,1.7
Education,1148,1431,0.8
Fine Arts,653,319,2.05
Language-Literature,20402,17115,1.19
Science,77,91,0.85
Medicine,300,458,0.66
Technology,190,267,0.71
Military Sci,274,320,0.86
Naval Science,38,54,0.7
Library Science,217,125,1.74
